Month and Year,industries,number
September 2000,Service activities and home production of various products for personal use,1
September 2000,Activities of extra territorial organisations and bodies,29
September 2000,Working from home,1
September 2000,Student,
September 2000,No work history,
September 2000,Uncertain,52
October 2000,Cultivation of crops and animal husbandry; hunting and related service activities,10
October 2000,Forestry and logging,7
October 2000,Fishing and aquaculture,56
October 2000,Coal mining,
October 2000,Crude oil and natural gas production,
October 2000,Metallurgy and metallurgy,1
October 2000,Mining and processing of other raw materials from the ground,2
October 2000,Mining services,
October 2000,Food production,120
October 2000,Manufacture of beverages,74
October 2000,Manufacture of textiles,3
October 2000,Clothing making,
October 2000,Manufacture of leather and leather products,6
October 2000,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,26
October 2000,Manufacture of paper and paper products,6
October 2000,Printing and duplication of recorded material,2
October 2000,Production of coke and refined petroleum products,9
October 2000,Manufacture of chemicals and chemical products,13
October 2000,Manufacture of pharmaceutical preparations and preparations,1
October 2000,Manufacture of rubber and plastic products,7
October 2000,Manufacture of non-metallic mineral products,
October 2000,Manufacture of basic metals,23
October 2000,Manufacture of fabricated metal products; except machinery and equipment,9
October 2000,Manufacture of computer; electronic and optical products,6
October 2000,Manufacture of electrical and household appliances,8
October 2000,Manufacture of other machinery and equipment nec,
October 2000,Manufacture of motor vehicles and trailers,1
October 2000,Manufacture of other vehicles,5
October 2000,Manufacture of furniture and fittings,
October 2000,Production; nec,7
October 2000,Repair and installation of hardware and equipment,1
October 2000,Electricity; gas and heating utilities; refrigeration and ventilation systems,9
October 2000,Water supply; collection and treatment of water,
October 2000,Garbage collection; treatment and disposal of waste; material reuse,2
October 2000,Decontamination and other waste treatment services,
October 2000,Housing construction; development of construction projects,
October 2000,Civil engineering,14
October 2000,Specialized construction activities,
October 2000,Sale; repair and maintenance of motor vehicles and trailers,29
October 2000,Wholesale trade; except of motor vehicles and motorcycles,
October 2000,Retail trade; except of motor vehicles and motorcycles,18
October 2000,Land transport and by pipeline,16
October 2000,Transport by sea and waterways,58
October 2000,Air transportation,215
October 2000,Warehousing and support activities for transport,8
October 2000,Post and courier services,9
October 2000,Operation of accommodation,5
October 2000,Catering and service,45
October 2000,Publishing activities,18
October 2000,Production of films; videos and television material; audio recording and music publishing,31
October 2000,Radio and television broadcasting; programming,71
October 2000,Telecommunications,22
October 2000,Information technology services,2
October 2000,Information service activities,5
October 2000,Financial services; excluding the activities of insurance companies and pension funds,9
October 2000,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,5
October 2000,Activities related to financial services and insurance,3
October 2000,Real estate,33
October 2000,Legal services and accounting,3
October 2000,Headquarters operations; operations consultancy activities,4
October 2000,Activities of architects and engineers; technical tests and analysis,4
October 2000,Scientific research and development,8
October 2000,Advertising and marketing research,
October 2000,Other professional; scientific and technical activities,7
October 2000,Veterinary medicine,5
October 2000,Rental activities; except real estate leasing,6
October 2000,Employment agency,1
October 2000,Travel agencies; tour operators and other booking services,
October 2000,Security and research activities,4
October 2000,Real estate management; cleaning services and ornamental gardening,3
October 2000,Office services and other business services,11
October 2000,Public administration; defense and social security,2
October 2000,Educational activities,29
October 2000,Health care,14
October 2000,Care in residential homes,44
October 2000,Social services without a stay in an institution,103
October 2000,Creative arts and entertainment,81
October 2000,Museum activities and other cultural activities,29
October 2000,Financial risk and betting activities,30
October 2000,Sports and leisure activities,8
October 2000,Activities of NGOs,11
October 2000,Repair of computers and objects for personal and household use,
October 2000,Other service activities,24
October 2000,Housekeeping with paid staff,22
October 2000,Service activities and home production of various products for personal use,2
October 2000,Activities of extra territorial organisations and bodies,29
October 2000,Working from home,1
October 2000,Student,
October 2000,No work history,
October 2000,Uncertain,49
November 2000,Cultivation of crops and animal husbandry; hunting and related service activities,20
